"Method"	"SC_rep"	"ST_rep"	"RMSE"	"CARD_RMSE"	"PercentDiff"
"ZI-HGT + CARD"	4	8	0.000727734425026902	0.000717029763936374	-1.49291725796166
"ZI-HGT + CARD"	5	8	0.00090788662707521	0.00079254476356507	-14.5533563292126
"ZI-HGT + CARD"	6	8	0.000665651329509075	0.000721790727751376	7.77779432235085
"ZI-HGT + CARD"	7	8	0.000706462914284604	0.000702377875087919	-0.581601349013661
"ZI-HGT + CARD"	8	8	0.000632376133052813	0.000648865793133905	2.5413051906236
"ZI-HGT + CARD"	9	8	0.000526899011094488	0.000593677884627271	11.2483343681749
"ZI-HGT + CARD"	10	8	0.000712005453856158	0.000691223444205677	-3.00655451210321
"ZI-HGT + CARD"	1	9	0.000599445014792919	0.000563363893391937	-6.40458535312622
"ZI-HGT + CARD"	2	9	0.000609421910045667	0.000655250298596676	6.99402787746264
"ZI-HGT + CARD"	3	9	0.000675097056422485	0.000645984784858969	-4.50664973012818
"ZI-HGT + CARD"	4	9	0.00074986646165062	0.000781869556042938	4.093150084304
"ZI-HGT + CARD"	5	9	0.000486470908366464	0.000594180122154662	18.1273674046204
"ZI-HGT + CARD"	6	9	0.00054686018630866	0.000634345450226754	13.791422936323
"ZI-HGT + CARD"	7	9	0.000799063079788651	0.000817498161889659	2.25506098489514
"ZI-HGT + CARD"	8	9	0.000640134947246716	0.000684498624294078	6.48119301819104
"ZI-HGT + CARD"	9	9	0.000576423182214874	0.000635133891179615	9.24383185657105
"ZI-HGT + CARD"	10	9	0.000623876865926317	0.000668996806111156	6.74441787653948
"ZI-HGT + CARD"	10	10	0.000518121135790983	0.000585907153997843	11.5694129597723
"HGT w/o ZI + CARD"	10	1	0.000756461238995398	0.000764797439204615	1.08998798660819
"HGT w/o ZI + CARD"	1	2	0.000557339337431196	0.000565879607431598	1.5092026445632
"HGT w/o ZI + CARD"	2	2	0.000633770165960183	0.000641940351507403	1.27273282136497
